iter	RMSE
0	314.0391288
1	307.6620075
2	301.008276
3	294.6523649
4	288.8459068
5	283.5348672
6	277.7204376
7	273.3830106
8	268.3294877
9	264.2063204
10	260.0611366
11	256.2382259
12	252.7428091
13	249.2702361
14	245.6482712
15	242.7639128
16	239.9488565
17	237.2295692
18	234.8407184
19	232.4072571
20	230.2784727
21	228.0512449
22	225.6667151
23	223.6552662
24	221.6521617
25	219.9135717
26	218.2858443
27	216.5520802
28	215.0624875
29	213.6319482
30	212.1583102
31	210.9311092
32	209.7540526
33	208.4118407
34	207.1543645
35	205.8662301
36	204.8663501
37	203.9132845
38	203.1511333
39	202.3455893
40	201.6980144
41	200.777431
42	200.1388496
43	199.4740074
44	198.7138353
45	197.9137736
46	197.1936801
47	196.4757591
48	195.7874955
49	195.194608
50	194.6893513
51	194.1704642
52	193.7559572
53	193.2685966
54	192.8158455
55	192.3785369
56	192.0292411
57	191.6176881
58	191.2353855
59	190.8209479
60	190.3778642
61	189.9949184
62	189.6587435
63	189.3715132
64	189.0578977
65	188.7761632
66	188.4215118
67	188.0385789
68	187.7003579
69	187.3637189
70	187.0879572
71	186.7141211
72	186.4596943
73	186.2203099
74	185.8723724
75	185.6354109
76	185.3001001
77	185.01342
78	184.8534822
79	184.5945232
80	184.3888784
81	184.0268985
82	183.719341
83	183.5039248
84	183.2387115
85	183.0256807
86	182.8150561
87	182.578124
88	182.2655343
89	182.0393172
90	181.7742296
91	181.6225142
92	181.5328262
93	181.4052046
94	181.1486572
95	180.9799242
96	180.8326097
97	180.6605236
98	180.5491131
99	180.4431707
100	180.2923225
101	180.1432792
102	179.9265207
103	179.7280268
104	179.5169323
105	179.3349002
106	179.1529775
107	178.9641775
108	178.8210874
109	178.6828998
110	178.4982789
111	178.2660997
112	178.1119163
113	177.9439004
114	177.8533231
115	177.6681603
116	177.461012
117	177.3247398
118	177.2038512
119	177.0700153
120	176.8516044
121	176.679514
122	176.541702
123	176.4033001
124	176.1486198
125	175.9992115
126	175.8119107
127	175.6092397
128	175.4304596
129	175.2529773
130	175.0779062
131	174.8585684
132	174.7197391
133	174.4819885
134	174.3775933
135	174.2167979
136	174.0737787
137	173.9597222
138	173.7785114
139	173.6036595
140	173.4491797
141	173.2923899
142	173.1576823
143	172.9914138
144	172.9301919
145	172.7915622
146	172.6676652
147	172.581474
148	172.4474625
149	172.2883532
150	172.1933633
151	172.0796829
152	171.9910396
153	171.8461234
154	171.744915
155	171.5785957
156	171.5142556
157	171.3629737
158	171.2610254
159	171.1982687
160	171.0892871
161	170.98431
162	170.8165605
163	170.7551373
164	170.6728081
165	170.5262982
166	170.3018234
167	170.1904156
168	170.1155097
169	169.9564825
170	169.8857919
171	169.7890747
172	169.6119641
173	169.4690546
174	169.2401703
175	169.1298919
176	168.9643376
177	168.858646
178	168.703458
179	168.5544274
180	168.4806297
181	168.3059352
182	168.2100545
183	168.1335099
184	168.0839846
185	167.9022271
186	167.7624031
187	167.7048835
188	167.5663003
189	167.4632278
190	167.3059481
191	167.1950164
192	167.1414733
193	167.0509289
194	166.9394512
195	166.7337397
196	166.6709755
197	166.6432779
198	166.4988402
199	166.3543414
200	166.2232998
201	166.122002
202	165.954408
203	165.7542256
204	165.6847432
205	165.5993942
206	165.5480788
207	165.5079736
208	165.4428786
209	165.3136991
210	165.2089416
211	165.0779531
212	164.8820675
213	164.6420939
214	164.5877655
215	164.5561111
216	164.4624325
217	164.3157562
218	164.2052961
219	164.1801796
220	163.957985
221	163.9072651
222	163.75012
223	163.689227
224	163.4104344
225	163.3105601
226	163.2704128
227	163.2318455
228	163.1148726
229	162.9456845
230	162.8206559
231	162.6051663
232	162.5586258
233	162.414938
234	162.3858301
235	162.2865032
236	162.1459352
237	162.067379
238	162.002682
239	161.8158776
240	161.747713
241	161.6277992
242	161.43522
243	161.2570557
244	161.119486
245	161.0691819
246	160.9570268
247	160.9094443
248	160.8178256
249	160.809227
250	160.684799
251	160.6139085
252	160.4486225
253	160.3349623
254	160.2006614
255	160.1782901
256	160.0433852
257	159.8963639
258	159.8263483
259	159.6580466
260	159.3465906
261	159.0239799
262	158.9544135
263	158.7551283
264	158.7355442
265	158.6020546
266	158.5353362
267	158.3963343
268	158.3508652
269	158.1374966
270	157.9271236
271	157.7301233
272	157.6137205
273	157.4558084
274	157.2579442
275	157.0921609
276	157.0191939
277	156.8869667
278	156.7935514
279	156.7627477
280	156.5516459
281	156.3742675
282	156.1699131
283	155.9165277
284	155.7238296
285	155.706204
286	155.5420334
287	155.3845704
288	155.2560248
289	155.2265473
290	155.1032534
291	154.9380367
292	154.8116324
293	154.7685209
294	154.5826352
295	154.4145261
296	154.32679
297	154.1075927
298	153.9835844
299	153.7890458
300	153.6036681
301	153.4447504
302	153.2030399
303	153.0277755
304	152.9785637
305	152.8300323
306	152.6822375
307	152.5559335
308	152.3255524
309	152.233357
310	152.0581278
311	151.9639528
312	151.869747
313	151.7322242
314	151.6707425
315	151.5696273
316	151.3711539
317	151.2745715
318	151.1043913
319	150.9514844
320	150.7423559
321	150.617732
322	150.477432
323	150.2958984
324	150.1780646
325	150.01798
326	149.9842856
327	149.7995025
328	149.6748106
329	149.4759742
330	149.4484768
331	149.3263731
332	149.2151752
333	149.0131594
334	148.8322743
335	148.6450225
336	148.4666796
337	148.3126349
338	148.1005682
339	147.9159702
340	147.7668567
341	147.5080386
342	147.4497563
343	147.2819996
344	147.0972052
345	146.9750726
346	146.7944935
347	146.6485954
348	146.4861575
349	146.366862
350	146.3175774
351	146.2311725
352	146.2200091
353	146.1050582
354	145.9729067
355	145.9544275
356	145.9060203
357	145.8408913
358	145.6682274
359	145.5737621
360	145.4580791
361	145.2471206
362	145.0551323
363	144.8793856
364	144.7888285
365	144.688404
366	144.4730717
367	144.417759
368	144.2629254
369	144.1389185
370	144.0461836
371	143.933536
372	143.8661758
373	143.755611
374	143.6607939
375	143.5330451
376	143.4271865
377	143.3051643
378	143.1683746
379	143.0229666
380	142.8252467
381	142.7873475
382	142.5761841
383	142.4313457
384	142.2391629
385	142.0967003
386	141.9784473
387	141.83339
388	141.650337
389	141.4498527
390	141.258569
391	141.0996504
392	141.0434596
393	140.8479865
394	140.6440885
395	140.5541296
396	140.4697913
397	140.454031
398	140.2381624
399	140.1121441
400	140.0351709
401	140.0028798
402	139.8451916
403	139.7632414
404	139.6957313
405	139.5222535
406	139.427705
407	139.3017254
408	139.2505114
409	139.1377401
410	138.9240374
411	138.8512027
412	138.7046362
413	138.6784325
414	138.5678987
415	138.4492951
416	138.3589996
417	138.2507436
418	138.1574903
419	138.0167666
420	137.8766641
421	137.7150133
422	137.7034133
423	137.5441012
424	137.3948252
425	137.3267116
426	137.3068357
427	137.1654397
428	136.9684227
429	136.853417
430	136.7426195
431	136.6578719
432	136.5003735
433	136.4427501
434	136.3457545
435	136.2035696
436	136.0823201
437	135.9230983
438	135.7862514
439	135.6719299
440	135.5428666
441	135.3731585
442	135.2753432
443	135.1767501
444	134.959358
445	134.7857759
446	134.6029664
447	134.4651587
448	134.3712922
449	134.3536289
450	134.3278227
451	134.3218984
452	134.1762862
453	134.0738402
454	134.0182835
455	133.8897635
456	133.7742619
457	133.6899624
458	133.5422704
459	133.4231166
460	133.2969094
461	133.2878343
462	133.2395831
463	133.1753951
464	133.0745273
465	132.8716289
466	132.8226189
467	132.6407258
468	132.5788812
469	132.4583154
470	132.3469131
471	132.1215305
472	132.0337966
473	132.0264531
474	131.9118782
475	131.7146215
476	131.5365596
477	131.4403568
478	131.3134431
479	131.2020387
480	131.1218466
481	131.0129284
482	130.8883862
483	130.8542385
484	130.7055523
485	130.546441
486	130.4873434
487	130.3063625
488	130.2532117
489	130.1483626
490	129.9523626
491	129.8024682
492	129.6492255
493	129.4898214
494	129.3163329
495	129.3043916
496	129.2580063
497	129.1769813
498	129.0229122
499	128.8019818
